label,text
1,عرف مصطلح الجريمة الإلكترونية 
1,عرف مصطلح أمن المعلومات
1,عرف مصطلح الهندسة الاجتماعية النفسية
1,عرف مصطلح تبييض أو غسيل الأموال 
1,عرف مصطلح الذكاء الاصطناعي
1,عرف مصطلح التحليل الاقتصادي
1,عرف مصطلح الاحتباس الحراري
1,عرف مصطلح التنمية المستدامة
1,عرف مصطلح الديمقراطية البرلمانية
2,ما هي الأصناف الرئيسية للبرمجيات الماكرة
2,"  ماهي أشكال المضايقات التي يمكن أن يتعرض لها مستخدم وسائل التواصل الاجتماعي(فايسبوك، ...) ؟"
2,ما نوع الجريمة الإلكترونية التي قد تكون أنت  ضحيتها عبر بريد إلكتروني يخبرك بأن شخصا يريد أن يتقاسم معك جوائز أو أموالا؟
2,ماهي الأسس التي يجب إتباعها للحد من انتشار الجريمة الإلكترونية؟
2,ما هي أهم استراتيجيات الحماية من هجمات البرمجيات الخبيثة؟
2,ما هي أنواع الاحتيال الإلكتروني التي تستهدف المعاملات المصرفية عبر الإنترنت؟
2,ما هي السياسات الأمنية الأساسية لحماية الشبكات الحاسوبية من الاختراقات؟
2,ما هي الاحتياطات الأمنية التي يجب اتخاذها لحماية البيانات الشخصية على الإنترنت؟
2,ما هي الطرق الفعالة للتعرف على ومكافحة التسلل الإلكتروني والاختراقات السيبرانية؟
3,ماهي النتائج المترتبة عن  إصابة  النظام المعلوماتي بحصان طروادة ؟  
3,ما هي النتائج المترتبة على استعمال تقنيات القياس الحيوي في الدخول إلى النظام المعلوماتي؟
3,ما النتائج المترتبة عن تطبيق سياسة أمن المعلومات في النظام المعلوماتي ؟
3,ما النتائج المترتبة على تطبيق اختبار الاختراق من طرف الهاكر؟
3,ما النتائج المترتبة عن انقطاع التيار الكهربائي المفاجئ على النظام المعلوماتي؟
3,ما النتائج المترتبة عن تسريب معلومات حساسة من النظام المعلوماتي؟
3,ما النتائج المترتبة عن استخدام برمجيات غير مرخصة على النظام المعلوماتي؟
3,ما النتائج المترتبة عن عدم تحديث برامج الحماية الخاصة بالنظام المعلوماتي؟
3,ما النتائج المترتبة عن فشل النظام المعلوماتي في التعامل مع هجمات الاحتيال الإلكتروني؟
4,علّل لماذا يشكل الإنسان الحلقة الضعيفة في سلسلة الأمن المعلوماتي؟
4,علّل تزايد فرص الإجرام الإلكتروني عبر العالم؟
4,علّل كيف يكون تطوير البرامج الضخمة تحديا صعبا في مجال الأمن المعلوماتي ؟ 
4,علّل لماذا لا تفكر المؤسسات غالبا في دعم سياسة الأمن في وقت مبكر من تصميم وتطوير النظام المعلوماتي ؟
4,علّل لماذا تُعتبر هجمات الهندسة الاجتماعية أحد أكثر أساليب الاختراق فعالية في مجال الأمن المعلوماتي؟
4,علّل كيف يمكن للبرمجيات الخبيثة أن تتفادى الكشف وتظل نشطة لفترات طويلة على أجهزة الكمبيوتر؟
4,علّل لماذا يعد الاختراق السيبراني تهديداً دولياً وتحدياً أمنياً عابراً للحدود الجغرافية؟
4,علّل تأثير تسريب البيانات الشخصية على المستخدمين والشركات من حيث الأمان والخصوصية.
4,علّل لماذا يتطلب استخدام التشفير القوي في الاتصالات الإلكترونية ونقل البيانات عبر الإنترنت للحفاظ على الأمان؟
5,ما الفرق بين عمل قراصنة القبعات البيضاء و عمل قراصنة القبعات السوداء؟
5,ما الفرق بين عمل قراصنة القبعات  الرمادية و عمل قراصنة القبعات السوداء؟
5,ما الفرق بين الدود والفيروسات؟
5,ما الفرق بين القرصنة واختبار الاختراق؟
5,ما الفرق بين الهجمات النشطة والهجمات السلبية في مجال الأمن المعلوماتي؟
5,ما الفرق بين الهجمات الداخلية والهجمات الخارجية على البنية التحتية للشبكات؟
5,ما الفرق بين تشفير البيانات في النقل وتشفير البيانات في الحفظ؟
5,ما الفرق بين الاختراق الموجه والاختراق العشوائي للأنظمة الحاسوبية؟
5,ما الفرق بين الاختراق النشط والاختراق السلبي في اختبار الاختراق؟